designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604952397114216576,604952397114216576,133.18993736515887,0.78105474,12.071437585498886,0.37280518,0.3369696604882892,0.9290237,-2.5252209315062006,1.0468434,-0.7446966624269364,0.6810007,0.91632646,107.54218758981203,0.665317,20.60842,47.13170591072953,7.808554,21.15526,131.86048964343604,9.729914,19.447609,1.7076511,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952401410172416,604952401410172416,133.19946966808587,0.29559705,12.076756888220768,0.15101282,0.9598514558323769,0.34988332,-11.856762656508627,0.377897,-6.072829476762632,0.25216255,1.1747278,328.26692576855424,0.83708584,19.3968,84.35300887831087,6.2380247,20.52329,347.98571038513745,7.3040557,18.393991,2.1292992,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952435769909632,604952435769909632,133.21162730591368,0.41235986,12.085975770836434,0.2143423,1.76626696530722,0.49091193,-3.454745412009226,0.514201,0.809429866933574,0.36590898,7.692711,4088.986792427521,25.58936,16.658327,2244.6606307115744,9.661852,16.960665,4184.390976268063,11.517367,15.693815,1.2668495,,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 604952500193374592,604952500193374592,133.20133623445787,0.37766784,12.085514283678048,0.20515099,2.504762667693247,0.4521441,2.0195430191293218,0.46795964,-7.928505227164285,0.32466674,1.0905682,217.9610326349484,0.6949372,19.84142,36.414746307437085,4.5357833,21.435349,304.65376708028197,7.8467555,18.53838,2.8969688,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952500193375104,604952500193375104,133.20126538262403,0.55386525,12.087824584122936,0.29410404,-0.14778571826445727,0.67338914,0.4410174963965401,0.74277955,-1.2460425242847333,0.5118166,1.0037863,131.24314377903298,0.6838261,20.392176,83.0347919164024,9.162004,20.540392,72.54185787543416,6.8810263,20.096424,0.44396782,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952504488657536,604952504488657536,133.18796728759816,13.176931,12.092014120595744,4.716894,,,,,,,,70.7386482006875,1.3620665,21.063225,14.56585959405781,6.805938,22.430202,72.13363859567816,30.839375,20.10255,2.327652,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952504489175808,604952504489175808,133.19345173413387,0.19919999,12.09041046014394,0.10942017,1.0794362071694839,0.24157299,0.4026541805471196,0.25318867,-5.145860927961275,0.17506546,1.0249305,457.32289750556055,0.8621472,19.03681,120.65309872915391,6.837106,20.134697,428.8825578082249,9.354947,18.16705,1.9676476,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952534553112576,604952534553112576,133.22147279652737,0.51418746,12.083638888179921,0.26783305,-0.30943782563239847,0.6740624,1.1974785090684408,0.7286869,-12.136019529687632,0.41159213,0.9849218,150.8729410288503,0.6884468,20.240839,66.63383494628879,5.689738,20.779305,135.82416143723066,7.761905,19.415453,1.3638515,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604952573208860416,604952573208860416,133.23934769205172,0.017981341,12.099672617932802,0.009637982,1.3011640897516676,0.023498239,-7.838547556274886,0.023302553,-10.851049849372691,0.016472965,0.96187216,43797.41721036899,8.202634,14.083746,22681.439020513484,22.45937,14.449366,30053.63777284175,23.509691,13.553153,0.8962126,15.255014,2.978736,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5550.6216,4.3738,-0.1486,742.3314,0.0077,0.0063,0.0034
Gaia DR3 604952607568385792,604952607568385792,133.20651165905514,0.2988917,12.102843799452225,0.16422461,-0.3044385459229294,0.36226466,1.3649912237272241,0.37869218,-5.309585189948877,0.26780146,0.966709,257.3350290685339,0.7251833,19.66112,110.29382040957924,7.086659,20.232164,206.2206138530164,7.2861714,18.962065,1.2700996,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
